random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
82,0.613,0.807,0.824,0.967,0.967,0.138,0.89,0.24,0.5,1.122,0.824,0.79,0.824,0.839,0.968,0.968,0.224,0.899,0.144,0.625,1.247,0.839
83,0.491,0.773,0.804,0.95,0.95,0.034,0.871,1.438,0.143,0.984,0.804,0.77,0.798,0.826,0.95,0.95,0.164,0.884,0.305,0.44,1.137,0.826
84,0.659,0.813,0.83,0.967,0.967,0.172,0.893,0.192,0.556,1.168,0.83,0.807,0.83,0.842,0.971,0.971,0.239,0.902,0.12,0.667,1.276,0.842
85,0.629,0.773,0.818,0.926,0.926,0.138,0.868,0.539,0.308,1.074,0.818,0.727,0.801,0.833,0.943,0.943,0.209,0.884,0.273,0.467,1.192,0.833
86,0.634,0.807,0.833,0.95,0.95,0.207,0.888,0.24,0.5,1.198,0.833,0.79,0.818,0.836,0.964,0.964,0.209,0.896,0.171,0.583,1.219,0.836
87,0.529,0.76,0.801,0.934,0.934,0.034,0.863,1.917,0.111,0.967,0.801,0.791,0.83,0.853,0.954,0.954,0.313,0.901,0.148,0.618,1.389,0.853
88,0.639,0.793,0.821,0.95,0.95,0.138,0.881,0.36,0.4,1.102,0.821,0.797,0.807,0.82,0.975,0.975,0.104,0.891,0.239,0.5,1.089,0.82
89,0.582,0.76,0.81,0.917,0.917,0.103,0.86,0.799,0.231,1.023,0.81,0.794,0.821,0.841,0.961,0.961,0.239,0.897,0.165,0.593,1.262,0.841
90,0.74,0.813,0.825,0.975,0.975,0.138,0.894,0.18,0.571,1.131,0.825,0.745,0.833,0.843,0.975,0.975,0.239,0.904,0.105,0.696,1.281,0.843
91,0.524,0.767,0.803,0.942,0.942,0.034,0.867,1.678,0.125,0.976,0.803,0.763,0.81,0.836,0.95,0.95,0.224,0.89,0.223,0.517,1.224,0.836
92,0.59,0.733,0.791,0.909,0.909,0.0,0.846,inf,0.0,0.909,0.791,0.798,0.81,0.834,0.954,0.954,0.209,0.89,0.222,0.519,1.205,0.834
93,0.535,0.74,0.806,0.893,0.893,0.103,0.847,1.039,0.188,0.996,0.806,0.742,0.793,0.838,0.921,0.921,0.254,0.878,0.31,0.436,1.235,0.838
94,0.616,0.767,0.816,0.917,0.917,0.138,0.864,0.599,0.286,1.064,0.816,0.787,0.821,0.849,0.946,0.946,0.299,0.895,0.179,0.571,1.349,0.849
95,0.493,0.78,0.81,0.95,0.95,0.069,0.875,0.719,0.25,1.021,0.81,0.782,0.818,0.84,0.957,0.957,0.239,0.895,0.179,0.571,1.257,0.84
96,0.528,0.78,0.81,0.95,0.95,0.069,0.875,0.719,0.25,1.021,0.81,0.786,0.818,0.824,0.986,0.986,0.119,0.898,0.12,0.667,1.119,0.824
97,0.512,0.74,0.801,0.901,0.901,0.069,0.848,1.438,0.143,0.968,0.801,0.765,0.804,0.844,0.929,0.929,0.284,0.884,0.252,0.487,1.296,0.844
98,0.58,0.787,0.83,0.926,0.926,0.207,0.875,0.36,0.4,1.167,0.83,0.795,0.841,0.853,0.971,0.971,0.299,0.908,0.096,0.714,1.385,0.853
99,0.62,0.793,0.808,0.975,0.975,0.034,0.884,0.719,0.25,1.01,0.808,0.794,0.801,0.823,0.961,0.961,0.134,0.886,0.292,0.45,1.11,0.823
100,0.598,0.787,0.803,0.975,0.975,0.0,0.881,inf,0.0,0.975,0.803,0.786,0.81,0.832,0.957,0.957,0.194,0.89,0.221,0.52,1.188,0.832
