label,train_sample,MaxIntensity,kurtosis,ClusterProminence_AllDirection_offset4_SD,Correlation_angle0_offset7,HaralickCorrelation_AllDirection_offset4_SD,HaralickCorrelation_angle45_offset7,Inertia_AllDirection_offset1_SD,Inertia_AllDirection_offset7_SD,GreyLevelNonuniformity_AllDirection_offset7_SD,HighGreyLevelRunEmphasis_AllDirection_offset7_SD,LongRunEmphasis_AllDirection_offset4_SD,LongRunLowGreyLevelEmphasis_angle90_offset1,ShortRunEmphasis_angle90_offset1,ShortRunHighGreyLevelEmphasis_AllDirection_offset4_SD,ShortRunHighGreyLevelEmphasis_AllDirection_offset7_SD,SurfaceVolumeRatio,HighIntensitySmallAreaEmphasis,IntensityVariability,LowIntensityLargeAreaEmphasis,4kurtosis,4ClusterProminence_AllDirection_offset4_SD,4ClusterProminence_angle0_offset4,4ClusterShade_AllDirection_offset7_SD,4Correlation_angle45_offset7,4Correlation_angle90_offset7,4GLCMEnergy_angle0_offset7,4GLCMEnergy_angle135_offset7,4GLCMEntropy_AllDirection_offset1_SD,4GLCMEntropy_AllDirection_offset4_SD,4HaralickCorrelation_AllDirection_offset4_SD,4HaralickCorrelation_angle135_offset4,4HaralickCorrelation_angle45_offset7,4GreyLevelNonuniformity_AllDirection_offset1_SD,4GreyLevelNonuniformity_AllDirection_offset7_SD,4HighGreyLevelRunEmphasis_AllDirection_offset1_SD,4LongRunEmphasis_AllDirection_offset1_SD,4LongRunEmphasis_angle0_offset4,4LongRunEmphasis_angle90_offset1,4LongRunEmphasis_angle90_offset4,4LongRunHighGreyLevelEmphasis_AllDirection_offset4_SD,4LongRunHighGreyLevelEmphasis_angle90_offset7,4LongRunLowGreyLevelEmphasis_angle0_offset1,4LongRunLowGreyLevelEmphasis_angle90_offset1,4ShortRunEmphasis_AllDirection_offset7,4ShortRunEmphasis_angle0_offset7,4ShortRunEmphasis_angle135_offset7,4ShortRunHighGreyLevelEmphasis_AllDirection_offset7_SD,4ShortRunHighGreyLevelEmphasis_angle45_offset1,4SurfaceVolumeRatio,4SmallAreaEmphasis,4ZonePercentage,,RAD
1,1,1.6040766,-0.5313276,-0.12659621,-0.53750837,-0.032022025,0.90573144,-0.2263183,-0.15512963,-0.70278347,-0.52563655,-0.0877404,-1.4172708,0.41834295,-0.10516316,-0.7672573,1.2675819,-1.1342236,-0.8856324,-0.49747628,-0.39217862,-0.08291858,-0.16169372,-0.054786224,-1.2755752,-0.3375952,0.13172215,0.015738828,-1.6451672,2.0706668,-0.57287174,-0.5239599,-0.6809467,-0.52496856,-0.603915,-0.6364248,-0.000160842,-0.024292301,-1.4590844,-1.1819528,-0.29484013,-0.74459,1.75965,1.5585471,0.53176796,0.7249476,-1.2102026,-0.9522905,0.45837,1.9141968,-0.64580184,-1.230444,,0.581636539
1,1,1.8310739,-0.5587365,-0.12659621,-0.48683065,-0.3353511,-0.85236055,-0.2334335,-0.15577713,-0.33848968,-0.08525153,-0.9461374,0.49517038,0.49591953,0.03126652,0.06898746,0.4815296,2.8370657,0.5804175,-0.6753256,0.26402277,-0.08289759,-0.1190907,-0.0547637,0.09841386,-0.34162095,1.6085206,-0.11732776,-0.8024193,0.009555661,2.8179665,-1.3830633,1.021093,0.49965954,1.3177438,2.0278125,-0.91469496,-0.13942115,-0.3906506,-0.5075114,-0.3318759,-0.25612062,0.26309738,0.011151516,-0.3618765,-0.7330325,-0.45350638,-0.5987505,-0.38314635,-0.12899616,-0.55999345,0.8037736,,1.03531927
1,1,1.8767611,1.0308143,-0.12659569,-0.8622567,-0.30164787,0.29125267,-0.19552107,-0.15450674,-0.6867004,-0.7801383,-0.456761,-0.21935084,0.75135064,-0.89628,-0.85178375,-0.6646326,0.43849742,0.14342055,0.9872367,-0.2790511,-0.082922086,-0.18066405,-0.054786514,0.024242373,1.0090394,-0.30218127,0.5397133,0.25441656,-0.42529133,-0.2716798,-0.9282438,0.6126035,-0.8559413,-0.575901,-0.52581805,-1.0803819,-0.5884988,-1.432942,-0.48484695,-0.7838632,-0.31682685,0.13001522,-0.15544318,0.13508832,-0.12034056,0.7757815,-0.74180603,0.053937428,-0.13920295,-0.8324333,-0.45153555,,3.138769924
1,0,-0.95710856,-0.5943583,-0.12659621,0.49009952,0.19828342,0.035219885,-0.23119769,-0.1557367,-0.6561004,-0.62879574,-0.24121556,0.5173363,1.1889887,-0.908247,-0.5772169,0.026765877,-0.06830792,-1.1847359,-0.59173197,-0.36827698,-0.082922146,-0.17617674,-0.05478767,1.5568652,-0.3483756,-0.028886646,-0.24260181,-0.38908035,-0.5318384,-0.7654226,-0.612397,-0.60151815,-0.33422348,-0.6725038,-0.09919206,-1.0235903,-1.1853628,1.0680457,-1.0850573,0.024876649,-0.879161,0.5794821,0.39844668,1.155963,1.0896764,0.16427742,-0.9777899,0.8124136,0.45604244,1.0561867,-0.9801551,,2.323450958
1,1,0.9551404,-0.55264866,-0.1265959,0.18867223,-0.21177259,0.035219885,-0.22145173,-0.15550555,-0.6582364,-0.30533803,-0.73853505,0.61933494,0.3449239,0.24340399,-0.8114433,0.112833105,-0.24428186,-0.97821194,1.8312261,-0.2571907,-0.08291948,-0.18125978,-0.05478738,0.063543715,-0.32994202,0.9433684,1.5774354,1.561971,-0.52437073,-0.30966002,-0.5239599,0.022563063,-0.4972461,0.3403926,-0.7977908,-1.1001025,-1.4780127,-0.60873723,0.09368688,-0.4875772,0.17546147,0.29242364,0.19137658,0.7839977,1.3773317,1.5173149,0.93346304,-0.2041726,-1.3086423,0.07748557,-0.97845644,,3.320623651
1,0,0.3381686,1.2359314,-0.06275305,-0.40838498,0.20951782,1.9469315,0.74372625,-0.12063411,-0.69467247,0.23346487,-0.4695774,-0.32015678,0.1087157,-0.2406926,-0.9928637,-0.84669095,-0.12457597,-0.43039548,0.00399228,-0.45375288,-0.082922235,-0.1702568,-0.0547873,-0.57555354,-0.6569678,0.053507246,-0.85455173,0.62908334,-0.7521338,-0.6823961,-0.081774294,-0.5788243,-0.9922474,-0.7330453,0.11168509,1.8287168,0.15678708,-1.0528848,-1.185226,0.28488275,-0.31644553,0.12119164,-0.14504516,0.10067106,-0.94377923,-0.015290296,-0.1737964,0.07913194,0.48535582,1.9296854,-1.1207304,,2.610680662
0,1,-1.1579028,-0.4776975,-0.12659617,0.783754,-0.39245933,-1.0059803,-0.23368008,-0.15564299,-0.10919199,-0.07633052,0.75060064,2.5722742,-0.8146147,0.61359423,0.24597232,0.24374866,-0.20341578,-0.81798,0.100936346,-0.38563374,-0.082916394,-0.16788875,-0.054775037,-0.7196308,0.88290405,-0.54442716,-0.41922462,0.58090574,-1.012598,0.49499056,0.3477774,-0.17033477,-0.22981282,0.64217424,-0.16723303,0.6011844,-0.038715787,-0.4796063,-0.60848325,-0.85944635,0.42698675,0.42281234,0.14653997,-1.1346478,-1.8749064,0.916731,0.54561436,-0.12733538,-0.6260946,-0.8738912,-0.9311484,,0.234240011
0,1,-0.9278337,-0.6163322,-0.12659621,0.17316742,-0.34546205,-0.51098347,-0.23431526,-0.1558543,0.12093603,-0.15409443,-0.5368199,-0.4822541,-0.396796,-0.7502836,-0.90409666,-0.9066114,-0.78304386,-0.33727977,3.1315148,0.56172013,-0.08284866,-0.07058141,-0.05466964,-0.06512405,0.62197006,-0.9178291,-1.0226882,-0.2789755,-0.22868901,0.000364496,0.78996295,0.12468545,-0.59882003,-0.6703305,-0.60318756,-0.14331645,-0.69968754,0.1143908,1.4126176,-0.011403271,-0.072932504,-0.2512134,1.0851771,1.240166,1.2048925,0.3201848,-0.83031225,-0.31857494,-0.2386102,-0.8778162,0.14426515,,-0.16817455
1,0,1.2694829,0.18431228,-0.12659469,-0.040426277,6.566322,0.53021663,-0.16497856,-0.15411219,-0.65290606,-0.2583228,-0.79362917,1.6708372,-1.2039032,2.7797303,-0.1378619,3.0482738,1.2953601,-1.2345858,-0.34401298,0.060871884,-0.08292138,-0.17447217,-0.054783028,1.0668796,0.45813054,-0.19124597,0.6235281,0.12238632,-0.2470058,-0.87229717,-0.76400346,-1.123477,-0.53048545,-0.2371739,-0.7174231,-1.0356528,-0.8927122,-0.92120343,-1.4316953,-0.6478135,-1.5630242,0.925952,0.666266,0.07372611,-2.737414,1.4673667,2.2936964,-1.2955052,0.8964124,-0.82461,-0.060999542,,3.142171853
1,1,-1.0149856,-0.32744634,-0.12659621,0.60545313,-0.29041347,-0.73287857,-0.23389024,-0.1558099,-0.60083634,-0.5310364,1.7407688,0.5306451,-0.30900854,-1.1023259,-0.89918417,-0.10281251,-0.49147508,0.37309498,-0.34033182,-0.44697592,-0.08292098,-0.16695175,-0.05478589,-1.1323991,0.805502,0.9163594,0.30526787,-0.8726504,-0.24461596,-0.40858522,0.006662821,0.045256924,-0.2898477,-0.62756974,0.65149546,0.6987888,0.2576833,1.7812916,-1.0215098,0.22139287,0.47535175,0.59254146,0.38918668,-0.78286904,-1.1512893,0.51977277,-0.023930186,0.41143164,-0.16405088,1.2013426,-0.76853764,,2.332372303
