random_state,test_AUC,train_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
96,0.583,0.846,0.773,0.827,0.909,0.909,0.207,0.866,0.439,0.353,1.146,0.827,0.846,0.865,0.872,0.975,0.975,0.403,0.921,0.062,0.794,1.633,0.872
24,0.583,0.847,0.793,0.831,0.934,0.934,0.207,0.879,0.32,0.429,1.178,0.831,0.847,0.813,0.846,0.939,0.939,0.284,0.89,0.214,0.528,1.311,0.846
58,0.583,0.849,0.72,0.802,0.868,0.868,0.103,0.833,1.278,0.158,0.968,0.802,0.849,0.853,0.868,0.964,0.964,0.388,0.914,0.092,0.722,1.576,0.868
28,0.585,0.792,0.78,0.806,0.959,0.959,0.034,0.875,1.198,0.167,0.993,0.806,0.792,0.836,0.843,0.979,0.979,0.239,0.906,0.09,0.727,1.286,0.843
19,0.585,0.831,0.76,0.815,0.909,0.909,0.138,0.859,0.659,0.267,1.055,0.815,0.831,0.818,0.84,0.957,0.957,0.239,0.895,0.179,0.571,1.257,0.84
61,0.588,0.768,0.767,0.821,0.909,0.909,0.172,0.863,0.527,0.312,1.098,0.821,0.768,0.816,0.827,0.975,0.975,0.149,0.895,0.168,0.588,1.146,0.827
3,0.588,0.816,0.747,0.822,0.876,0.876,0.207,0.848,0.599,0.286,1.105,0.822,0.816,0.841,0.857,0.964,0.964,0.328,0.908,0.109,0.688,1.436,0.857
67,0.59,0.841,0.78,0.824,0.926,0.926,0.172,0.872,0.431,0.357,1.118,0.824,0.841,0.865,0.882,0.961,0.961,0.463,0.92,0.085,0.738,1.788,0.882
97,0.594,0.814,0.74,0.82,0.868,0.868,0.207,0.843,0.639,0.273,1.094,0.82,0.814,0.836,0.854,0.961,0.961,0.313,0.904,0.125,0.656,1.399,0.854
64,0.595,0.793,0.78,0.81,0.95,0.95,0.069,0.875,0.719,0.25,1.021,0.81,0.793,0.833,0.845,0.971,0.971,0.254,0.904,0.113,0.68,1.302,0.845
47,0.598,0.799,0.807,0.833,0.95,0.95,0.207,0.888,0.24,0.5,1.198,0.833,0.799,0.818,0.84,0.957,0.957,0.239,0.895,0.179,0.571,1.257,0.84
