random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
45,0.575,0.8,0.818,0.967,0.967,0.103,0.886,0.32,0.429,1.079,0.818,0.874,0.836,0.835,0.993,0.993,0.179,0.907,0.04,0.857,1.209,0.835
46,0.555,0.8,0.81,0.983,0.983,0.034,0.888,0.479,0.333,1.019,0.81,0.882,0.833,0.828,1.0,1.0,0.134,0.906,0.0,1.0,1.155,0.828
47,0.551,0.78,0.801,0.967,0.967,0.0,0.876,inf,0.0,0.967,0.801,0.996,0.931,0.921,1.0,1.0,0.642,0.959,0.0,1.0,2.792,0.921
48,0.502,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.963,0.847,0.841,1.0,1.0,0.209,0.914,0.0,1.0,1.264,0.841
49,0.616,0.813,0.821,0.983,0.983,0.103,0.895,0.16,0.6,1.097,0.821,0.999,0.911,0.9,1.0,1.0,0.537,0.948,0.0,1.0,2.161,0.9
50,0.541,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.838,0.841,0.836,1.0,1.0,0.179,0.911,0.0,1.0,1.218,0.836
51,0.52,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.649,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
52,0.638,0.807,0.811,0.992,0.992,0.034,0.892,0.24,0.5,1.027,0.811,0.971,0.867,0.859,1.0,1.0,0.313,0.924,0.0,1.0,1.457,0.859
53,0.564,0.8,0.81,0.983,0.983,0.034,0.888,0.479,0.333,1.019,0.81,1.0,0.971,0.966,1.0,1.0,0.851,0.982,0.0,1.0,6.7,0.966
54,0.578,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.999,0.893,0.883,1.0,1.0,0.448,0.938,0.0,1.0,1.811,0.883
55,0.69,0.813,0.812,1.0,1.0,0.034,0.896,0.0,1.0,1.036,0.812,0.763,0.81,0.809,1.0,1.0,0.015,0.895,0.0,1.0,1.015,0.809
56,0.608,0.8,0.814,0.975,0.975,0.069,0.887,0.36,0.4,1.047,0.814,0.937,0.847,0.841,1.0,1.0,0.209,0.914,0.0,1.0,1.264,0.841
57,0.627,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.888,0.844,0.838,1.0,1.0,0.194,0.912,0.0,1.0,1.241,0.838
58,0.538,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.982,0.853,0.846,1.0,1.0,0.239,0.917,0.0,1.0,1.314,0.846
59,0.627,0.793,0.812,0.967,0.967,0.069,0.883,0.479,0.333,1.039,0.812,0.998,0.937,0.927,1.0,1.0,0.672,0.962,0.0,1.0,3.045,0.927
60,0.673,0.8,0.805,0.992,0.992,0.0,0.889,inf,0.0,0.992,0.805,0.864,0.83,0.828,0.996,0.996,0.134,0.904,0.027,0.9,1.151,0.828
