random_state,test_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
77,0.464,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.608,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
78,0.529,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.603,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
79,0.51,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.656,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
80,0.52,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.636,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
81,0.585,0.767,0.812,0.926,0.926,0.103,0.865,0.719,0.25,1.032,0.812,0.76,0.856,0.853,0.993,0.993,0.284,0.917,0.025,0.905,1.386,0.853
82,0.515,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.639,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
83,0.527,0.787,0.816,0.95,0.95,0.103,0.878,0.479,0.333,1.06,0.816,0.571,0.821,0.83,0.979,0.979,0.164,0.898,0.131,0.647,1.171,0.83
84,0.613,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.626,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
85,0.502,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.642,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
86,0.492,0.773,0.804,0.95,0.95,0.034,0.871,1.438,0.143,0.984,0.804,0.586,0.827,0.835,0.979,0.979,0.194,0.901,0.11,0.684,1.214,0.835
87,0.502,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.601,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
88,0.504,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.621,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
89,0.565,0.82,0.831,0.975,0.975,0.172,0.897,0.144,0.625,1.178,0.831,0.592,0.836,0.835,0.993,0.993,0.179,0.907,0.04,0.857,1.209,0.835
90,0.532,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.629,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
91,0.514,0.787,0.811,0.959,0.959,0.069,0.879,0.599,0.286,1.03,0.811,0.582,0.83,0.834,0.986,0.986,0.179,0.903,0.08,0.75,1.201,0.834
92,0.507,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.585,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
93,0.572,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.625,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
94,0.609,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.62,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
95,0.487,0.753,0.813,0.901,0.901,0.138,0.855,0.719,0.25,1.045,0.813,0.681,0.87,0.864,0.996,0.996,0.343,0.925,0.01,0.958,1.517,0.864
96,0.505,0.793,0.808,0.975,0.975,0.034,0.884,0.719,0.25,1.01,0.808,0.585,0.824,0.835,0.975,0.975,0.194,0.9,0.129,0.65,1.21,0.835
97,0.505,0.793,0.808,0.975,0.975,0.034,0.884,0.719,0.25,1.01,0.808,0.541,0.818,0.82,0.993,0.993,0.09,0.898,0.08,0.75,1.091,0.82
98,0.501,0.8,0.814,0.975,0.975,0.069,0.887,0.36,0.4,1.047,0.814,0.675,0.83,0.83,0.993,0.993,0.149,0.904,0.048,0.833,1.167,0.83
99,0.616,0.807,0.815,0.983,0.983,0.069,0.891,0.24,0.5,1.056,0.815,0.722,0.813,0.813,0.996,0.996,0.045,0.896,0.08,0.75,1.043,0.813
100,0.505,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807,0.616,0.807,0.807,1.0,1.0,0.0,0.893,,,1.0,0.807
